k,x,h,y_true,y_lin,err_abs
0,1.0,0.001,1.000499875062461,1.0005,1.2493753898112914e-07
1,0.98,0.001,0.9904544411531506,0.9904545699334427,1.2878029209684172e-07
2,0.96,0.001,0.9803060746521975,0.980306207476351,1.3282415345372556e-07
3,0.94,0.001,0.970051545022222,0.9700516821063951,1.3708417312408017e-07
4,0.92,0.001,0.9596874491208063,0.9596875906976866,1.4157688033034077e-07
5,0.9,0.001,0.9492101980067429,0.9492103443272085,1.4632046563267664e-07
6,0.88,0.001,0.9386160024205852,0.938616153755575,1.5133498976194204e-07
7,0.86,0.001,0.9279008567729636,0.9279010134155875,1.5664262387193872e-07
8,0.84,0.001,0.91706052144883,0.917060683716758,1.6226792798335055e-07
9,0.8200000000000001,0.001,0.9060905032059435,0.9060906714441159,1.6823817239330907e-07
10,0.8,0.001,0.8949860334105779,0.8949862079942908,1.745837129307759e-07
11,0.78,0.001,0.8837420438114281,0.883742225149857,1.813384289395259e-07
12,0.76,0.001,0.8723531395025755,0.8723533280428111,1.8854023553505073e-07
13,0.74,0.001,0.8608135686662938,0.8608137648979818,1.9623168800997348e-07
14,0.72,0.001,0.8491171886141512,0.8491173930748458,2.0446069459723049e-07
15,0.7,0.001,0.8372574275573791,0.8372576408387428,2.1328136368126138e-07
16,0.6799999999999999,0.001,0.8252272414311103,0.8252274641861228,2.227550125466493e-07
17,0.6599999999999999,0.001,0.8130190649671137,0.8130192979184927,2.3295137896450768e-07
18,0.64,0.001,0.8006247560499238,0.800625,2.4395007625077625e-07
19,0.62,0.001,0.7880355321938218,0.7880357880361821,2.558423602971871e-07
20,0.6,0.001,0.7752418977325722,0.7752421664658513,2.6873327907406264e-07
21,0.5800000000000001,0.001,0.7622335600063802,0.7622338427506895,2.8274430929897676e-07
22,0.56,0.001,0.7489993324429602,0.7489996304595694,2.980166091681724e-07
23,0.54,0.001,0.7355270219373317,0.7355273366523932,3.1471506156677265e-07
24,0.52,0.001,0.7218032973047436,0.7218036303380795,3.3303333590861683e-07
25,0.5,0.001,0.7078135347674556,0.7078138879677341,3.5320027857999037e-07
