k,x,h,y_true,y_lin,err_abs
0,0.0,0.001,1.001001001001001,1.001,1.0010010011995973e-06
1,0.02,0.001,1.0214504596527068,1.0214493960849647,1.0635677420989254e-06
2,0.04,0.001,1.0427528675703859,1.0427517361111112,1.1314592747169172e-06
3,0.06,0.001,1.0649627263045793,1.064961521050249,1.2052543303386898e-06
4,0.08,0.001,1.088139281828074,1.0881379962192816,1.2856087923118764e-06
5,0.1,0.001,1.1123470522803114,1.1123456790123458,1.3732679655653612e-06
6,0.12,0.001,1.1376564277588168,1.137654958677686,1.4690811307449536e-06
7,0.14,0.001,1.1641443538998837,1.1641427798810169,1.5740188668011967e-06
8,0.16,0.001,1.1918951132300357,1.191893424036281,1.6891937546503755e-06
9,0.18,0.001,1.221001221001221,1.2209994051160022,1.8158852188587815e-06
10,0.2,0.001,1.2515644555694618,1.2515625,1.9555694619199926e-06
11,0.22,0.001,1.2836970474967908,1.2836949375410913,2.1099556994919055e-06
12,0.24,0.001,1.3175230566534915,1.3175207756232687,2.281030222706093e-06
13,0.26,0.001,1.3531799729364005,1.3531775018261505,2.471110249979702e-06
14,0.28,0.001,1.3908205841446455,1.3908179012345678,2.6829100776559756e-06
15,0.3,0.001,1.4306151645207439,1.4306122448979592,2.919622784647302e-06
16,0.32,0.001,1.4727540500736376,1.4727508650519032,3.1850217343531995e-06
17,0.34,0.001,1.5174506828528072,1.5174471992653813,3.483587425856527e-06
18,0.36,0.001,1.5649452269170578,1.56494140625,3.820667057841121e-06
19,0.38,0.001,1.6155088852988693,1.6155046826222685,4.202676600728594e-06
20,0.4,0.001,1.669449081803005,1.6694444444444445,4.637358560488636e-06
21,0.42,0.001,1.7271157167530227,1.7271105826397146,5.134113308047361e-06
22,0.44,0.001,1.7889087656529519,1.7889030612244896,5.704428462260935e-06
23,0.46,0.001,1.8552875695732842,1.8552812071330587,6.362440225560206e-06
24,0.48,0.001,1.9267822736030829,1.9267751479289938,7.125674089003553e-06
25,0.5,0.001,2.004008016032064,2.004,8.016032063906664e-06
